07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
LLDTF;Lloyds Banking Group plc;0,69;1,06;1,06;1,10;1,00;0,90;0,95;0,77;0,77;0,36
MBGAF;Mercedes-Benz Group AG;55,27;58,04;57,15;56,52;57,30;58,44;61,92;58,80;62,68;48,00
DELL;Dell Technologies Inc.;115,24;128,14;130,48;130,23;132,69;124,77;95,79;106,37;87,89;30,82
VOLVF;AB Volvo (publ);24,30;27,84;28,95;28,60;28,99;28,84;27,25;28,05;24,25;17,85
HLT;Hilton Worldwide Holdings Inc.;247,16;260,95;260,15;262,42;268,08;270,85;241,65;269,69;203,52;83,70
FDX;FedEx Corporation;281,33;226,45;222,41;217,49;223,49;235,09;215,56;256,08;278,13;183,53
MET;MetLife, Inc.;81,88;75,95;74,89;74,83;75,95;79,18;76,74;83,92;68,73;38,72
VLKPF;Volkswagen AG;93,27;105,15;105,15;105,15;101,01;103,92;107,64;98,92;102,00;157,80
ING;ING Groep N.V.;15,67;23,60;23,22;22,98;23,36;22,39;20,09;16,42;16,74;7,85
BCS;Barclays PLC;13,29;19,56;19,39;19,32;19,62;18,19;15,95;15,07;10,84;5,54
TGT;Target Corporation;135,18;105,39;102,43;99,79;100,50;101,60;95,49;131,35;133,47;131,75
DRPRF;Dr. Ing. h.c. F. Porsche AG;59,76;50,50;50,50;48,38;51,19;49,75;51,24;58,44;72,40;0,00
MNST;Monster Beverage Corporation;52,56;59,50;59,04;60,35;58,75;62,85;60,56;46,57;50,53;41,60
GM;General Motors Company;53,27;52,47;52,58;52,77;53,34;51,82;45,47;47,39;40,65;26,72
COIN;Coinbase Global, Inc.;248,30;303,58;297,99;318,17;377,76;357,10;196,56;274,49;178,91;0,00
O;Realty Income Corporation;53,41;56,91;57,20;57,45;56,13;57,53;56,74;54,12;60,28;60,78
DBOEF;Deutsche Börse AG;236,27;298,23;300,45;293,00;289,78;316,97;336,07;248,61;203,24;184,96
HINKF;Heineken N.V.;71,99;76,50;78,15;78,30;78,90;89,28;89,50;68,90;86,11;89,29
NET;Cloudflare, Inc.;107,68;215,53;207,81;208,80;207,68;192,85;121,71;166,66;76,37;40,06
MHVIY;Mitsubishi Heavy Industries Ltd;27,98;26,75;25,38;24,57;24,13;23,31;20,00;14,37;23,45;0,00
NDAQ;Nasdaq, Inc.;77,31;96,56;96,34;96,91;96,22;90,55;78,57;82,82;66,80;44,29
